service_id,date,exception_type
HVI:Timetable:19,20200601,2
HVI:Timetable:19,20200602,2
HVI:Timetable:19,20200603,2
HVI:Timetable:19,20200604,2
HVI:Timetable:19,20200605,2
HVI:Timetable:19,20200606,2
HVI:Timetable:19,20200608,2
HVI:Timetable:19,20200609,2
HVI:Timetable:19,20200610,2
HVI:Timetable:19,20200611,2
HVI:Timetable:19,20200612,2
HVI:Timetable:19,20200613,2
HVI:Timetable:19,20200615,2
HVI:Timetable:19,20200616,2
HVI:Timetable:19,20200617,2
HVI:Timetable:19,20200618,2
HVI:Timetable:19,20200619,2
HVI:Timetable:19,20200620,2
HVI:Timetable:19,20200622,2
HVI:Timetable:19,20200623,2
HVI:Timetable:19,20200624,2
HVI:Timetable:19,20200625,2
HVI:Timetable:19,20200626,2
HVI:Timetable:19,20200627,2
HVI:Timetable:19,20200629,2
HVI:Timetable:19,20200630,2
HVI:Timetable:19,20200701,2
HVI:Timetable:19,20200702,2
HVI:Timetable:19,20200703,2
HVI:Timetable:19,20200704,2
HVI:Timetable:19,20200714,2
HVI:Timetable:19,20200815,2
HVI:Timetable:21,20191101,2
HVI:Timetable:21,20191111,2
HVI:Timetable:21,20191225,2
HVI:Timetable:21,20200101,2
HVI:Timetable:21,20200102,2
HVI:Timetable:21,20200103,2
HVI:Timetable:21,20200106,2
HVI:Timetable:21,20200107,2
HVI:Timetable:21,20200108,2
HVI:Timetable:21,20200109,2
HVI:Timetable:21,20200110,2
HVI:Timetable:21,20200113,2
HVI:Timetable:21,20200114,2
HVI:Timetable:21,20200115,2
HVI:Timetable:21,20200116,2
HVI:Timetable:21,20200117,2
HVI:Timetable:21,20200120,2
HVI:Timetable:21,20200121,2
HVI:Timetable:21,20200122,2
HVI:Timetable:21,20200123,2
HVI:Timetable:21,20200124,2
HVI:Timetable:21,20200127,2
HVI:Timetable:21,20200128,2
HVI:Timetable:21,20200129,2
HVI:Timetable:21,20200130,2
HVI:Timetable:21,20200131,2
HVI:Timetable:21,20200203,2
HVI:Timetable:21,20200204,2
HVI:Timetable:21,20200205,2
HVI:Timetable:21,20200206,2
HVI:Timetable:21,20200207,2
HVI:Timetable:21,20200210,2
HVI:Timetable:21,20200211,2
HVI:Timetable:21,20200212,2
HVI:Timetable:21,20200213,2
HVI:Timetable:21,20200214,2
HVI:Timetable:21,20200217,2
HVI:Timetable:21,20200218,2
HVI:Timetable:21,20200219,2
HVI:Timetable:21,20200220,2
HVI:Timetable:21,20200221,2
HVI:Timetable:21,20200224,2
HVI:Timetable:21,20200225,2
HVI:Timetable:21,20200226,2
HVI:Timetable:21,20200227,2
HVI:Timetable:21,20200228,2
HVI:Timetable:21,20200302,2
HVI:Timetable:21,20200303,2
HVI:Timetable:21,20200304,2
HVI:Timetable:21,20200305,2
HVI:Timetable:21,20200306,2
HVI:Timetable:21,20200309,2
HVI:Timetable:21,20200310,2
HVI:Timetable:21,20200311,2
HVI:Timetable:21,20200312,2
HVI:Timetable:21,20200313,2
HVI:Timetable:21,20200316,2
HVI:Timetable:21,20200317,2
HVI:Timetable:21,20200318,2
HVI:Timetable:21,20200319,2
HVI:Timetable:21,20200320,2
HVI:Timetable:21,20200323,2
HVI:Timetable:21,20200324,2
HVI:Timetable:21,20200325,2
HVI:Timetable:21,20200326,2
HVI:Timetable:21,20200327,2
HVI:Timetable:21,20200330,2
HVI:Timetable:21,20200331,2
HVI:Timetable:21,20200401,2
HVI:Timetable:21,20200402,2
HVI:Timetable:21,20200403,2
HVI:Timetable:21,20200406,2
HVI:Timetable:21,20200407,2
HVI:Timetable:21,20200408,2
HVI:Timetable:21,20200409,2
HVI:Timetable:21,20200410,2
HVI:Timetable:21,20200413,2
HVI:Timetable:21,20200414,2
HVI:Timetable:21,20200415,2
HVI:Timetable:21,20200416,2
HVI:Timetable:21,20200417,2
HVI:Timetable:21,20200420,2
HVI:Timetable:21,20200421,2
HVI:Timetable:21,20200422,2
HVI:Timetable:21,20200423,2
HVI:Timetable:21,20200424,2
HVI:Timetable:21,20200427,2
HVI:Timetable:21,20200428,2
HVI:Timetable:21,20200429,2
HVI:Timetable:21,20200430,2
HVI:Timetable:21,20200501,2
HVI:Timetable:21,20200504,2
HVI:Timetable:21,20200505,2
HVI:Timetable:21,20200506,2
HVI:Timetable:21,20200507,2
HVI:Timetable:21,20200508,2
HVI:Timetable:21,20200511,2
HVI:Timetable:21,20200512,2
HVI:Timetable:21,20200513,2
HVI:Timetable:21,20200514,2
HVI:Timetable:21,20200515,2
HVI:Timetable:21,20200518,2
HVI:Timetable:21,20200519,2
HVI:Timetable:21,20200520,2
HVI:Timetable:21,20200521,2
HVI:Timetable:21,20200522,2
HVI:Timetable:21,20200525,2
HVI:Timetable:21,20200526,2
HVI:Timetable:21,20200527,2
HVI:Timetable:21,20200528,2
HVI:Timetable:21,20200529,2
HVI:Timetable:21,20200601,2
HVI:Timetable:21,20200602,2
HVI:Timetable:21,20200603,2
HVI:Timetable:21,20200604,2
HVI:Timetable:21,20200605,2
HVI:Timetable:21,20200608,2
HVI:Timetable:21,20200609,2
HVI:Timetable:21,20200610,2
HVI:Timetable:21,20200611,2
HVI:Timetable:21,20200612,2
HVI:Timetable:21,20200615,2
HVI:Timetable:21,20200616,2
HVI:Timetable:21,20200617,2
HVI:Timetable:21,20200618,2
HVI:Timetable:21,20200619,2
HVI:Timetable:21,20200622,2
HVI:Timetable:21,20200623,2
HVI:Timetable:21,20200624,2
HVI:Timetable:21,20200625,2
HVI:Timetable:21,20200626,2
HVI:Timetable:21,20200629,2
HVI:Timetable:21,20200630,2
HVI:Timetable:21,20200701,2
HVI:Timetable:21,20200702,2
HVI:Timetable:21,20200703,2
HVI:Timetable:21,20200706,2
HVI:Timetable:21,20200707,2
HVI:Timetable:21,20200708,2
HVI:Timetable:21,20200709,2
HVI:Timetable:21,20200710,2
HVI:Timetable:21,20200713,2
HVI:Timetable:21,20200714,2
HVI:Timetable:21,20200715,2
HVI:Timetable:21,20200716,2
HVI:Timetable:21,20200717,2
HVI:Timetable:21,20200720,2
HVI:Timetable:21,20200721,2
HVI:Timetable:21,20200722,2
HVI:Timetable:21,20200723,2
HVI:Timetable:21,20200724,2
HVI:Timetable:21,20200727,2
HVI:Timetable:21,20200728,2
HVI:Timetable:21,20200729,2
HVI:Timetable:21,20200730,2
HVI:Timetable:21,20200731,2
HVI:Timetable:21,20200803,2
HVI:Timetable:21,20200804,2
HVI:Timetable:21,20200805,2
HVI:Timetable:21,20200806,2
HVI:Timetable:21,20200807,2
HVI:Timetable:21,20200810,2
HVI:Timetable:21,20200811,2
HVI:Timetable:21,20200812,2
HVI:Timetable:21,20200813,2
